MySQL Shell 1.0.11

Copyright (c) 2016, 2017, Oracle and/or its affiliates. All rights reserved.

Oracle is a registered trademark of Oracle Corporation and/or its
affiliates. Other names may be trademarks of their respective
owners.

Type '\help' or '\?' for help; '\quit' to exit.

Currently in JavaScript mode. Use \sql to switch to SQL mode and execute queries.
mysql-js> \sql
Switching to SQL mode... Commands end with ;
mysql-sql> \connect -c root@localhost:3306
Creating a Classic Session to 'root@localhost:3306'
Enter password: ****
Your MySQL connection id is 62
Server version: 5.7.21-log MySQL Community Server (GPL)
No default schema selected; type \use <schema> to set one.
mysql-sql> use northwind;
Query OK, 0 rows affected (0.06 sec)
mysql-sql> select distinct (A.PRODUCTNAME) as Productname from products a
       ... inner join ORDERDETAILS B on A.productid = B.productid;
+----------------------------------+
| Productname                      |
+----------------------------------+
| Alice Mutton                     |
| Aniseed Syrup                    |
| Boston Crab Meat                 |
| Camembert Pierrot                |
| Carnarvon Tigers                 |
| Chai                             |
| Chang                            |
| Chartreuse verte                 |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Gumbo Mix           |
| Chocolade                        |
| Cte de Blaye                     |
| Escargots de Bourgogne           |
| Filo Mix                         |
| Flotemysost                      |
| Geitost                          |
| Genen Shouyu                     |
| Gnocchi di nonna Alice           |
| Gorgonzola Telino                |
| Grandma's Boysenberry Spread     |
| Gravad lax                       |
| Guaran Fantstica                 |
| Gudbrandsdalsost                 |
| Gula Malacca                     |
| Gumbr Gummibrchen                |
| Gustaf's Knckebrd                |
| Ikura                            |
| Inlagd Sill                      |
| Ipoh Coffee                      |
| Jack's New England Clam Chowder  |
| Konbu                            |
| Lakkalikri                       |
| Laughing Lumberjack Lager        |
| Longlife Tofu                    |
| Louisiana Fiery Hot Pepper Sauce |
| Louisiana Hot Spiced Okra        |
| Manjimup Dried Apples            |
| Mascarpone Fabioli               |
| Maxilaku                         |
| Mishi Kobe Niku                  |
| Mozzarella di Giovanni           |
| Nord-Ost Matjeshering            |
| Northwoods Cranberry Sauce       |
| NuNuCa Nu-Nougat-Creme           |
| Original Frankfurter grne Soe    |
| Outback Lager                    |
| Pavlova                          |
| Perth Pasties                    |
| Pt chinois                       |
| Queso Cabrales                   |
| Queso Manchego La Pastora        |
| Raclette Courdavault             |
| Ravioli Angelo                   |
| Rd Kaviar                        |
| Rhnbru Klosterbier               |
| Rogede sild                      |
| Rssle Sauerkraut                 |
| Sasquatch Ale                    |
| Schoggi Schokolade               |
| Scottish Longbreads              |
| Singaporean Hokkien Fried Mee    |
| Sir Rodney's Marmalade           |
| Sir Rodney's Scones              |
| Sirop d'rable                    |
| Spegesild                        |
| Steeleye Stout                   |
| Tarte au sucre                   |
| Teatime Chocolate Biscuits       |
| Thringer Rostbratwurst           |
| Tofu                             |
| Tourtire                         |
| Tunnbrd                          |
| Uncle Bob's Organic Dried Pears  |
| Valkoinen suklaa                 |
| Vegie-spread                     |
| Wimmers gute Semmelkndel         |
| Zaanse koeken                    |
+----------------------------------+
77 rows in set (1.03 sec)
mysql-sql> select A.productname as productname from products A
       ... inner join (select distinct(productid) as productid from orderdetails) B on A.productid= B.productid;
+----------------------------------+
| productname                      |
+----------------------------------+
| Chai                             |
| Chang                            |
| Aniseed Syrup                    |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Gumbo Mix           |
| Grandma's Boysenberry Spread     |
| Uncle Bob's Organic Dried Pears  |
| Northwoods Cranberry Sauce       |
| Mishi Kobe Niku                  |
| Ikura                            |
| Queso Cabrales                   |
| Queso Manchego La Pastora        |
| Konbu                            |
| Tofu                             |
| Genen Shouyu                     |
| Pavlova                          |
| Alice Mutton                     |
| Carnarvon Tigers                 |
| Teatime Chocolate Biscuits       |
| Sir Rodney's Marmalade           |
| Sir Rodney's Scones              |
| Gustaf's Knckebrd                |
| Tunnbrd                          |
| Guaran Fantstica                 |
| NuNuCa Nu-Nougat-Creme           |
| Gumbr Gummibrchen                |
| Schoggi Schokolade               |
| Rssle Sauerkraut                 |
| Thringer Rostbratwurst           |
| Nord-Ost Matjeshering            |
| Gorgonzola Telino                |
| Mascarpone Fabioli               |
| Geitost                          |
| Sasquatch Ale                    |
| Steeleye Stout                   |
| Inlagd Sill                      |
| Gravad lax                       |
| Cte de Blaye                     |
| Chartreuse verte                 |
| Boston Crab Meat                 |
| Jack's New England Clam Chowder  |
| Singaporean Hokkien Fried Mee    |
| Ipoh Coffee                      |
| Gula Malacca                     |
| Rogede sild                      |
| Spegesild                        |
| Zaanse koeken                    |
| Chocolade                        |
| Maxilaku                         |
| Valkoinen suklaa                 |
| Manjimup Dried Apples            |
| Filo Mix                         |
| Perth Pasties                    |
| Tourtire                         |
| Pt chinois                       |
| Gnocchi di nonna Alice           |
| Ravioli Angelo                   |
| Escargots de Bourgogne           |
| Raclette Courdavault             |
| Camembert Pierrot                |
| Sirop d'rable                    |
| Tarte au sucre                   |
| Vegie-spread                     |
| Wimmers gute Semmelkndel         |
| Louisiana Fiery Hot Pepper Sauce |
| Louisiana Hot Spiced Okra        |
| Laughing Lumberjack Lager        |
| Scottish Longbreads              |
| Gudbrandsdalsost                 |
| Outback Lager                    |
| Flotemysost                      |
| Mozzarella di Giovanni           |
| Rd Kaviar                        |
| Longlife Tofu                    |
| Rhnbru Klosterbier               |
| Lakkalikri                       |
| Original Frankfurter grne Soe    |
+----------------------------------+
77 rows in set (0.08 sec)
mysql-sql> select A.productname as productname from products A
       ... inner join (select productid as productid from orderdetails) B on A.productid = B.productid;
+----------------------------------+
| productname                      |
+----------------------------------+
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Alice Mutton                     |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Aniseed Syrup                    |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Boston Crab Meat                 |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Camembert Pierrot                |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Carnarvon Tigers                 |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chai                             |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chang                            |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chartreuse verte                 |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Cajun Seasoning     |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chef Anton's Gumbo Mix           |
| Chocolade                        |
| Chocolade                        |
| Chocolade                        |
| Chocolade                        |
| Chocolade                        |
| Chocolade                        |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Cte de Blaye                     |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Escargots de Bourgogne           |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Filo Mix                         |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
| Flotemysost                      |
